label,area,perimeter,eccentricity,solidity,equivalent_diameter,centroid_x,centroid_y,min_intensity,max_intensity,mean_intensity
120,41.0,23.31370849898476,0.5500644796542994,0.8541666666666666,7.225151993843567,9.390243902439025,161.8048780487805,0.5382425785064697,0.7230817079544067,0.6076657
121,43.0,40.41421356237309,0.9952464141147008,0.8269230769230769,7.399277020331919,293.1162790697674,160.7674418604651,0.5863242745399475,0.7805074453353882,0.6781473
122,424.0,79.39087296526012,0.5085257021464854,0.9443207126948775,23.23474912642073,326.77830188679246,168.8443396226415,0.490470290184021,0.825680673122406,0.6581156
123,338.0,81.24873734152916,0.8616419985602536,0.8556962025316456,20.7449985808745,210.0680473372781,161.83727810650888,0.5101485252380371,0.9004950523376465,0.7119993
124,103.0,55.86396103067892,0.9872299988585407,0.8956521739130435,11.451797811161432,293.70873786407765,163.96116504854368,0.5327351689338684,0.782240092754364,0.64763236
125,24.0,17.242640687119284,0.8627159945601642,0.9230769230769231,5.527906391541368,1.2083333333333333,166.04166666666666,0.5665223002433777,0.7217822074890137,0.574982
126,28.0,24.621320343559642,0.9899498964516066,0.8235294117647058,5.970821321441846,214.71428571428572,166.85714285714286,0.6534653306007385,0.8560024499893188,0.7889476
127,15.0,13.0,0.997534007258103,0.7142857142857143,4.370193722368317,213.53333333333333,168.53333333333333,0.6476485133171082,0.8488861322402954,0.77046204
128,597.0,115.94112549695429,0.8771992484370278,0.8133514986376021,27.570346537664197,294.25460636515913,181.4891122278057,0.5176361203193665,0.8830445408821106,0.69824433
129,137.0,75.31370849898477,0.9933964624541651,0.9013157894736842,13.207339536360731,283.97080291970804,184.007299270073,0.45037129521369934,0.8543316721916199,0.6604123
130,3969.0,270.54520189781084,0.46102309843255473,0.886333184457347,71.08788752701729,371.6238347190728,177.52960443436635,0.45402228832244873,0.9152846336364746,0.67068833
131,99.0,67.86396103067892,0.9958561452869175,0.8608695652173913,11.227230955528665,280.3838383838384,181.55555555555554,0.4544554352760315,0.782920777797699,0.6754482
132,237.0,103.31370849898475,0.99442004800948,0.9115384615384615,17.371176474327626,137.93248945147678,187.47679324894514,0.5639232397079468,0.9078589081764221,0.7087025
133,451.0,89.56244584051392,0.6644613697936421,0.9337474120082816,23.96311821686732,269.84922394678495,179.29933481152995,0.5077970027923584,0.8909034729003906,0.67723113
134,17.0,15.0,0.998085875286698,0.7083333333333334,4.652426491681278,299.4117647058824,189.41176470588235,0.6390470266342163,0.810519814491272,0.73056203
135,32.0,29.621320343559642,0.991754202666308,0.8421052631578947,6.383076486422923,301.03125,188.75,0.6368193030357361,0.8081064224243164,0.7398225
136,286.0,124.14213562373095,0.9962680426353064,0.9196141479099679,19.08262324195121,402.5174825174825,189.0034965034965,0.5247524976730347,0.8990098834037781,0.71127295
137,1183.0,162.01219330881975,0.6805559747846889,0.8203883495145631,38.810338589372,142.24852071005918,203.87404902789518,0.5079208016395569,0.9457920789718628,0.75024396
138,57.0,39.242640687119284,0.9883584251829066,0.8636363636363636,8.51907589177983,183.49122807017545,191.47368421052633,0.5178217887878418,0.8548886179924011,0.6772603
139,4374.0,289.99494936611666,0.6982774253396262,0.9085999169090154,74.62673628580846,37.411979881115684,186.96570644718793,0.4406559467315674,0.9269183278083801,0.6979569
140,903.0,189.1126983722081,0.9875321517515236,0.7991150442477876,33.90774703361832,409.63344407530457,198.07198228128462,0.4155321717262268,0.8738242387771606,0.65800405
141,444.0,81.01219330881976,0.47741005576346407,0.9507494646680942,23.77642441290137,312.73423423423424,185.02702702702703,0.4815593957901001,0.913118839263916,0.72364306
142,284.0,98.24264068711928,0.9889674118861551,0.9594594594594594,19.015783725757565,2.7253521126760565,200.48591549295776,0.44282177090644836,0.8724009990692139,0.6687516
